#ZJHHY
A|农林牧渔
A01|农业
A0101|种植业
A0199|其他农业
A03|林业
A0301|林业
A05|畜牧业
A0501|牲畜饲养放牧业
A0505|家禽饲养业
A0599|其他畜牧业
A07|渔业
A0701|海洋渔业
A0705|淡水渔业
A09|农林牧渔服务业
A0901|农业服务业
A0905|林业服务业
A0915|畜牧兽医服务业
A0920|渔业服务业
A0999|其他农林牧渔服务业
B|采掘
B01|煤炭采选业
B0101|煤炭开采业
B0105|煤炭洗选业
B03|石油和天然气开采业
B0301|天然原油开采业
B0305|天然气开采业
B0310|油页岩洗选业
B05|黑色金属矿采选业
B0501|铁矿采选业
B0599|其他黑色金属矿采选业
B07|有色金属矿采选业
B0701|重有色金属矿采选业
B0715|轻有色金属矿采选业
B0730|贵金属矿采选业
B0740|稀有稀土金属矿采选业
B09|非金属矿采选业
B0901|土砂石开采业
B0911|化学矿开采业
B0921|采盐业
B0999|其他非金属矿开采业
B49|其他矿采选业
B50|采掘服务业
B5001|煤炭采选服务业
B5003|石油和天然气开采服务业
B5005|黑色金属矿采选服务业
B5007|有色金属矿采选服务业
B5009|非金属矿采选服务业
B5099|其他矿采选服务业
C|制造业
C0|食品饮料
C01|食品加工业
C0101|粮食及饲料加工业
C0111|植物油加工业
C0115|制糖业
C0120|屠宰及肉类蛋类加工业
C0125|水产品加工业
C0130|盐加工业
C0199|其他加工业
C03|食品制造业
C0301|糕点、糖果制造业
C0310|乳制品制造业
C0320|罐头食品制造业
C0330|发酵制造业
C0340|调味品制造业
C0399|其他食品制造业
C05|饮料制造业
C0501|酒精及饮料酒制造业
C0510|软饮料制造业
C0520|制茶业
C0599|其他饮料制造业
C1|纺织服装
C11|纺织业
C1101|纤维原料初步加工业
C1105|棉纺织业
C1110|毛纺织业
C1115|麻纺织业
C1120|丝绢纺织业
C1125|针织品业
C1199|其他纺织品业
C13|服装及其他纤维制品制造业
C1301|服装制造业
C1320|制帽业
C1340|制鞋业
C1399|其他纤维制品制造业
C14|皮革、毛皮、羽绒及制品制造业
C1401|制革业
C1405|皮革制品制造业
C1410|毛皮鞣制及制品业
C1415|羽毛（绒）加工及制品业
C2|木材家具
C21|木材加工及竹、藤、棕、草制品业
C2101|锯材、木片加工业
C2105|人造板制造业
C2110|木制品业
C2115|竹、藤、棕、草制品业
C25|家具制造业
C2501|木制家具制造业
C2505|竹、藤家具制造业
C2510|金属家具制造业
C2525|塑料家具制造业
C2599|其他家具制造业
C3|造纸印刷
C31|造纸及纸制品业
C3101|纸浆制造业
C3105|造纸业
C3110|纸制品业
C35|印刷业
C37|文教体育用品制造业
C3701|文化用品制造业
C3710|体育用品制造业
C3799|其他文教用品制造业
C4|石油化学
C41|石油加工及炼焦业
C4101|人造原油生产业
C4105|原油加工业
C4110|石油制品业
C4115|炼焦业
C43|化学原料及化学制品制造业
C4301|基本化学原料制造业
C4310|化学肥料制造业
C4320|化学农药制造业
C4330|有机化学产品制造业
C4350|合成材料制造业
C4360|专用化学产品制造业
C4370|日用化学产品制造业
C47|化学纤维制造业
C4701|纤维素纤维制造业
C4705|合成纤维制造业
C4710|渔具及渔具材料制造业
C48|橡胶制造业
C4801|轮胎制造业
C4805|力车胎制造业
C4810|橡胶板、管、带制造业
C4815|橡胶零件制造业
C4820|再生橡胶制造业
C4825|橡胶靴鞋制造业
C4830|日用橡胶制造业
C4835|橡胶制品翻修业
C4899|其他橡胶制品业
C49|塑料制造业
C4901|塑料薄膜制造业
C4905|塑料板、管、棒材制造业
C4910|塑料丝、绳及编织品制造业
C4915|泡沫塑料及人造革、合成革制造业
C4920|塑料包装箱及容器制造业
C4925|塑料鞋制造业
C4930|日用塑料杂品制造业
C4935|塑料零件制造业
C4999|其他塑料制造业
C5|电子
C51|电子元器件制造业
C5110|电子器件制造业
C5115|电子元件制造业
C55|日用电子器具制造业
C5501|日用电子器具制造业
C57|其他电子设备制造业
C5701|其他电子设备制造业
C59|电子设备修理业
